Title,Author,Rating,Views
N년째 외사랑,As,9.29,38만
네게선 레몬향이 났다,유쟈,9.19,19만
검은 늑대,MOCA,9.87,81만
카나와 초나의 독일,카나,9.85,722만
도원향,Lee Hajin,9.87,95만
나를 위한 봄,이영,8.92,24만
아빠는 N살,유영근,9.90,"5,747만"
자매전설,레전드시스터즈,9.03,15만
용사님 나가신다,순디,9.24,4.4만
소환진이 좀 이상해 보이는 건 기분 탓이겠지2,기럭지미인,9.87,213만
10대백작,오니오니,8.84,39만
너구리네 육아일기,구리^^,9.78,"1,120만"
찐삼국사,이용훈,7.93,49만
댄서,영일보이,9.65,2.2만
나는 백수다,뿔치,9.20,41만
지극히 평범한 생활,슨민찡,9.85,"1,612만"
개같이 사랑해라,강띠,8.11,2.6만
프론트걸,사가스,8.54,1.8만
고고고,고고고,9.74,325만
배추 너 말이야,김파울,9.38,7만
구미호 사제,아네모네,9.33,41만
대마법소녀의 시대,한라뽕,9.38,14만
깜장고양이 짜루,고돌댁,9.73,51만
부달조 일상툰,부달조,9.47,18만
쓰리포,산호섬,9.69,13만
흑염치,김수환무,9.60,2.4만
검게 녹아내림에,셋하나둘은둘셋하나,9.67,25만
띵,카르마카멜레온,9.43,3.3만
김밍자의 두근두근 일상물,김밍자,8.58,6.3만
158동 진상부부,진상부부,9.53,424만
오빠 어서와,은찬이,9.32,29만
모호담,명안,9.72,136만
냉혹한 동아리의 세계,인간적인생활,9.30,2.6만
개하르방,갱곰,9.82,52만
고쓰리 형사,유부김밥x닭누리,9.85,224만
북한의 아이,검은흑기린,9.12,160만
오남매와 태양씨,안다,9.03,7.4만
저주를 걸어드립니다.,머그워트드림,9.86,8.7만
순정네컷,예인젤,8.69,2.2만
달을 찾아 루시,해안,9.84,25만
우주n은하,MojoT,9.85,416만
땅콩집을 위하여,이다올,9.80,407만
카오스이론,노커,9.92,"1,022만"
대리기사,일그남,8.95,7.8만
오둥이 일기,오둥이엄마,9.87,56만
태어나버렸습니다,저수지상어,9.79,60만
궁 사랑,글 융공 그림 아가,9.18,15만
절명화,맹화,8.92,2.8만
자작 보드게임 동아리,서전트황,9.68,"1,147만"
유사소년소녀,es****,9.75,59만
10년째 신혼일기,파파보쳉,9.76,495만
괴이현상 하나,머클,9.79,22만
하루땃따,땃따,9.89,998만
이게 삼국지다!,삼칠이,9.77,13만
사자머리와호깜대,사자머리,9.75,42만
AI폰 아리랑,뱅석,9.82,504만
옹옹툰,옹옹랜드,9.48,12만
월국의 프락세이스,kyeong365,9.43,53만
[BL] 너와 가까워지는 거리,육수,9.78,448만
산군대잔치,다영좍가,9.81,554만
Twins Love Story (트윈스 러브 스토리),이햐,9.85,881만
신의타로(흑묘),마리아,9.71,639만
오버클럭,대갈도끼,9.28,682만
오늘의 후기,챈,9.74,"1,734만"
종말과의 약속,그냥,8.96,"9,100"
추추,최 봉근,9.66,40만
용사님을 사랑한 힐러님,슝밍,9.79,65만
인호,두누누,9.69,6.5만
대학생 입니다,하 이,9.48,96만
소도시에 삽니다,mini,9.88,340만
실험학교,로레오스,9.88,592만
그래도 같이살자,늑유,9.88,564만
짐승육아,박바퀴,9.80,311만
콩콩땅땅,단백질,9.53,"8,771"
우리집에 사는 신비한 이웃,doo,9.73,"5,860"
법치국가法治國家,파이리,9.49,30만
어리바리 치에센세,낸네,9.71,26만
백발의 유성,백바루,9.11,28만
외계에서 온 지구인,아샷,9.58,22만
드라큘라 DRACULA,홍실버,8.78,2.9만
마음,하프03,8.76,15만
바람 잘 날 없는,인중e,9.40,1.7만
극야를 비추는 별,EGO,9.53,17만
영원한 여름,유화,9.38,4만
여기는 미드스트로크!,깡통맨,9.91,139만
전염소녀,아밤,9.86,182만
아타나시아,Tana,9.51,110만
육아의 계절,십짱생,9.68,111만
호텔불란서,김고향,9.71,18만
그 이야기는 죽어야 한다,구미호,8.73,1.8만
버튜버 방송중,방과후버튜버,9.27,8.5만
나는 솔로지만 재벌입니다만,글 쑤기 그림 OZ,8.75,4.4만
"그날, 우리",사료맛캔디,9.53,24만
볼빨간갱년기-갱여사의 스토리,갱여사,9.11,6만
똥글앤땡글,리틀 키츠네,9.35,16만
동경과 윤경,정월 l 미코,7.82,15만
설레죽겠네,CheeU,8.86,24만
너를 위한 이야기,꺼보,9.68,5.7만
미필은 노하이,복면,9.45,"3,309만"
셔틀콕,이갱,9.53,3.7만
임상 시험 6개월 과정 모집,꿀한숲,9.02,1.5만
플레이워 K (K초능력고),차피,8.10,1.9만
