statNm,statId,chgerId,chgerType,addr,addrDetail,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,floorNum,floorType,maker
낙성대동주민센터,ME174013,01,06,서울특별시 관악구 낙성대로4가길 5,null,null,37.476296,126.9583876,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155352,20260307130636,20260307134758,,,50,단독,11,11620,G0,G003,Y,,N,,N,,N,2017,1,F,시그넷
서울추모공원,ME174027,01,06,서울특별시 서초구 양재대로12길 74,1층 입구,null,37.4536062,127.0428005,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155404,20260307133929,20260307142250,,,50,단독,11,11650,A0,A004,N,,N,,N,,N,2017,1,F,시그넷
롯데마트 송파점,ME174029,01,06,서울특별시 송파구 중대로 80,지하4층 C8,null,37.4918392,127.1178931,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155407,20260307150700,20260307154456,,,50,단독,11,11710,E0,E001,N,,N,,N,,N,2017,4,B,시그넷
현대자동차 수색대리점,ME174037,01,06,서울특별시 은평구 수색로 342-1,null,null,37.5867665,126.8880299,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155408,20260307090842,20260307094947,,,50,단독,11,11380,F0,F001,N,,N,,N,,N,2017,1,F,시그넷
태화빌딩,ME174039,01,06,서울특별시 종로구 인사동5길 29,지상주차장,null,37.5718148,126.9850443,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155413,20260306153440,20260306160640,,,50,단독,11,11110,H0,H003,N,,N,,N,,N,2017,1,F,시그넷
위미의례회관,ME174046,01,06,제주특별자치도 서귀포시 남원읍 중산간동로 6862,null,null,33.289615,126.6576261,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155516,20260307130333,20260307131912,,,50,단독,50,50130,A0,A004,N,,N,,N,,N,2017,1,F,시그넷
중문 관광단지,ME174050,01,06,제주특별자치도 서귀포시 색달동 2889-1,중문색달해변 북측 증설주차장,null,33.2461812,126.4143365,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155337,20260306185914,20260306194055,20260307154215,,50,단독,50,50130,D0,D007,Y,,N,,N,,N,2017,1,F,시그넷
중문 관광단지,ME174050,02,06,제주특별자치도 서귀포시 색달동 2889-1,중문색달해변 북측 증설주차장,null,33.2461812,126.4143365,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155326,20260307145451,20260307150812,,,50,단독,50,50130,D0,D007,Y,,N,,N,,N,2017,1,F,시그넷
중문 관광단지,ME174050,03,06,제주특별자치도 서귀포시 색달동 2889-1,중문색달해변 북측 증설주차장,null,33.2461812,126.4143365,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155356,20260307143603,20260307151312,20260307153643,,50,단독,50,50130,D0,D007,Y,,N,,N,,N,2017,1,F,시그넷
중문 관광단지,ME174050,04,06,제주특별자치도 서귀포시 색달동 2889-1,중문색달해변 북측 증설주차장,null,33.2461812,126.4143365,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155304,20260307144316,20260307151035,,,50,단독,50,50130,D0,D007,Y,,N,,N,,N,2017,1,F,시그넷
중문 관광단지,ME174050,05,06,제주특별자치도 서귀포시 색달동 2889-1,중문색달해변 북측 증설주차장,null,33.2461812,126.4143365,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155213,20260307121504,20260307130129,,,50,단독,50,50130,D0,D007,Y,,N,,N,,N,2017,1,F,시그넷
표선 의례회관 앞 공영주차장,ME174061,01,06,제주특별자치도 서귀포시 표선면 표선리 2103,null,null,33.3272826,126.8233934,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155527,20260307130312,20260307133458,,,50,단독,50,50130,B0,B001,Y,,N,,N,,N,2017,1,F,시그넷
회수사거리 인근 공영주차장,ME174062,01,06,제주특별자치도 서귀포시 회수동 788-2,null,null,33.2631165,126.4425962,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20260226201310,20260226034756,20260226041210,,,50,단독,50,50130,B0,B001,Y,,N,,N,,N,2017,1,F,시그넷
용암해수산업화지원센터,ME174064,01,06,제주특별자치도 제주시 구좌읍 일주동로 2706-40,null,null,33.5425723,126.8125030,24시간 이용가능,ME,기후에너지환경부,환경부,1661-9408,2,20260307155227,20260226132554,20260226133438,,,50,단독,50,50110,A0,A004,Y,,N,,N,,N,2017,1,F,시그넷
한국폴리텍대학 제주캠퍼스,ME174067,01,06,제주특별자치도 제주시 산천단 동3길 2,북쪽주차장 입구,null,33.4464702,126.5613493,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155444,20260307124451,20260307132522,,,50,단독,50,50110,J0,J001,Y,,N,,N,,N,2017,1,F,시그넷
