statNm,addr,chgerType,useTime,lat,lng,output,limitYn,limitDetail
한국광기술원,광주광역시 북구 첨단 벤처로 108번길 9,6,24시간 이용가능,35.231341167,126.85982174,50.0,N,기타
롯데마트 수완점,광주광역시 광산구 장신로 98,6,10:00~23:00,35.190126,126.820343,50.0,N,기타
블루핸즈 하남현대자동차서비스,광주광역시 광산구 하남대로 127-10,6,24시간 이용가능,35.1810177,126.8074485,50.0,N,기타
기아자동차 진월점,광주광역시 남구 진월동 314-1,6,24시간 이용가능,35.124734,126.8971093,50.0,N,기타
이마트 광산점,광주광역시 광산구 사암로 172,6,10:00~24:00,35.16005,126.80905,50.0,N,기타
롯데마트 첨단점,광주광역시 광산구 첨단강변로99번길 22,6,10:00~24:00,35.2173049,126.8515597,50.0,N,기타
비아5일시장 제2 공영주차장,광주광역시 광산구 비아동 66-6,6,월~금09:00~19:00,35.220685,126.825573,100.0,N,기타
삼도동주민센터,광주광역시 광산구 오운로 433-1,6,월~금09:00~19:00,35.162085,126.697794,100.0,N,기타
운남동 공영주차장,광주광역시 광산구 운남동 524-3,6,월~금09:00~19:00,35.176969,126.824017,100.0,N,기타
사직주민센터,광주광역시 남구 서동 147-22,6,24시간 이용가능,35.145589,126.908043,100.0,N,기타
계림동 공영주차장,광주광역시 동구 계림동 280,6,24시간 이용가능,35.15694134,126.91933141,100.0,N,기타
서창한옥문화관,광주광역시 서구 눌재로 420 (세하동),6,24시간 이용가능,35.1155387,126.8301248,100.0,N,기타
유덕동주민센터,광주광역시 서구 유덕로 24 (유촌동),6,24시간 이용가능,35.165141,126.851815,100.0,N,기타
동구다목적체육관 제1주차장,광주광역시 동구 남문로 418-15,6,09:00~22:00,35.109601,126.938841,100.0,N,기타
임곡동 주민센터,광주광역시 광산구 고봉로 788,6,24시간 이용가능,35.219698,126.744553,100.0,N,기타
광주교육과학연구원,광주광역시 동구 의재로 109번길 10,6,24시간 이용가능,35.133762,126.940508,100.0,N,기타
국립광주박물관,광주광역시 북구 하서로 110,6,24시간 이용가능,35.187235271,126.88264681,100.0,N,기타
인재교육원,광주광역시 광산구 소촌로152번길 53-27,4,24시간 이용가능,35.1606295,126.7966387,200.0,N,기타
무등산생태탐방원,광주광역시 북구 충효동 805번지,4,24시간 이용가능,35.180666,126.997214,200.0,N,기타
정부광주합동청사,광주광역시 북구 첨단과기로208번길 43,4,24시간 이용가능,35.223886,126.849223,200.0,N,기타
518기념문화센터,광주광역시 서구 내방로 152,4,24시간 이용가능,35.1586899,126.857258,200.0,N,기타
서부농수산물도매시장,광주광역시 서구 매월2로 16,6,24시간 이용가능,35.1167985,126.8574403,50.0,N,기타
광산구청 구청사,광주광역시 광산구 광산로 29번길 15,6,24시간 이용가능,35.140738,126.793657,50.0,N,기타
남구청주차장,광주광역시 남구 주월동 1284-7,6,24시간 이용가능,35.13232905,126.90249171,50.0,N,기타
IPLEX광주,광주광역시 동구 동계천로 150,6,24시간 이용가능,35.1488066,126.9259849,50.0,N,기타
광주 동구 국민체육센터,광주광역시 동구 필문대로 205번길 17,6,24시간 이용가능,35.1522851,126.9325037,50.0,N,기타
동구문화센터,광주광역시 동구 남문로 646,6,24시간 이용가능,35.1289503,126.9309406,50.0,N,기타
광산문화예술회관,광주광역시 광산구 광산로 68번길 13,6,24시간 이용가능,35.141106,126.799378,50.0,N,기타
광주테크노파크가전로봇센터,광주광역시 북구 첨단과기로 339,6,24시간 이용가능,35.230450839,126.85960906,50.0,N,기타
평동주민센터,광주광역시 광산구 평동로 790,6,24시간 이용가능,35.124586,126.760438,50.0,N,기타
장덕도서관,광주광역시 광산구 풍영로179,4,24시간 이용가능,35.187766,126.813937,100.0,N,기타
한국환경공단 호남권지역본부,광주광역시 광산구 무진대로 217,4,09 ~ 18시,35.162401,126.804541,100.0,N,기타
양동주민센터,광주광역시 서구 천변좌로222번길 3-2,4,24시간 이용가능,35.154922,126.900786,100.0,N,기타
양3동주민센터,광주광역시 서구 상무대로1223번길 16,4,24시간 이용가능,35.157288,126.894275,100.0,N,기타
농성2동주민센타,광주광역시 서구 화정로 314,4,24시간 이용가능,35.15036,126.890157,100.0,N,기타
봉선1동 공영주차장,광주광역시 남구 봉선중앙로123번길 21,4,24시간 이용가능,35.1317443,126.9082519,200.0,N,기타
주월동 공영주차장,광주광역시 남구 주월동 974-145,4,24시간 이용가능,35.1353065,126.8942282,200.0,N,기타
