Transaction_Date,dealAmount,excluUseAr,floor,buildYear,Location
20231226,"102,000",45.879,16,2017,서울
20231228,"102,000",45.879,16,2017,대구
20231230,"10,800",16.67,9,2012,대구
20231227,"194,000",84.8359,8,2017,대전
20231222,"128,000",59.6737,9,2019,대전
20231216,"150,000",84.8792,14,2019,제주
20231228,"114,000",236.07,2,2009,서울
20231220,"118,000",110.53,4,2001,대구
20231211,"280,000",118.749,16,2020,광주
2023128,"69,000",79.87,11,1992,서울
20231223,"23,900",44.4,6,1997,대전
20231226,"16,000",18.505,12,2017,제주
2023124,"10,500",17.811,11,2013,대구
20231217,"148,000",59.7547,4,2017,대구
20231224,"10,000",12.08,12,2013,대구
2023122,"70,000",79.87,10,1992,대구
2023122,"179,000",151.81,11,2008,대전
20231219,"10,400",12.09,9,2013,서울
2023121,"90,000",84.74,2,2007,제주
2023121,"98,500",84.9478,9,2009,대전
