so2Grade,coFlag,khaiValue,so2Value,coValue,pm25Flag,pm10Flag,o3Grade,pm10Value,khaiGrade,pm25Value,sidoName,no2Flag,no2Grade,o3Flag,pm25Grade,so2Flag,dataTime,coGrade,no2Value,stationName,pm10Grade,o3Value
1,,92,0.002,0.4,,,2,45,2,35,서울,,1,,2,,2026-03-06 22:00,1,0.010,중구,2,0.047
1,,63,0.002,0.4,,,2,36,2,28,서울,,1,,2,,2026-03-06 22:00,1,0.015,한강대로,2,0.045
1,,100,0.002,0.4,,,2,45,2,39,서울,,1,,2,,2026-03-06 22:00,1,0.011,종로구,2,0.045
1,,87,0.002,0.4,,,2,44,2,34,서울,,1,,2,,2026-03-06 22:00,1,0.013,청계천로,2,0.042
1,,82,0.002,0.4,,,2,45,2,31,서울,,1,,2,,2026-03-06 22:00,1,0.009,종로,2,0.051
1,,97,0.002,0.4,,,2,46,2,33,서울,,1,,2,,2026-03-06 22:00,1,0.012,용산구,2,0.046
1,,85,0.003,0.5,,,2,44,2,33,서울,,1,,2,,2026-03-06 22:00,1,0.012,광진구,2,0.041
1,,82,0.002,0.4,,,2,41,2,32,서울,,1,,2,,2026-03-06 22:00,1,0.009,성동구,2,0.053
1,,82,0.002,0.5,,,2,43,2,32,서울,,1,,2,,2026-03-06 22:00,1,0.013,강변북로,2,0.042
1,,90,0.002,0.5,,,2,41,2,36,서울,,1,,2,,2026-03-06 22:00,1,0.014,중랑구,2,0.043
1,,82,0.002,0.4,,,2,40,2,31,서울,,1,,2,,2026-03-06 22:00,1,0.010,동대문구,2,0.041
1,,79,0.003,0.5,,,2,44,2,29,서울,,1,,2,,2026-03-06 22:00,1,0.016,홍릉로,2,0.041
1,,87,0.003,0.6,,,2,44,2,29,서울,,1,,2,,2026-03-06 22:00,1,0.009,성북구,2,0.038
1,,82,0.002,0.5,,,2,44,2,33,서울,,1,,2,,2026-03-06 22:00,1,0.022,정릉로,2,0.038
1,,79,0.003,0.5,,,2,45,2,25,서울,,1,,2,,2026-03-06 22:00,1,0.008,도봉구,2,0.050
1,,90,0.003,0.5,,,2,51,2,35,서울,,1,,2,,2026-03-06 22:00,1,0.010,은평구,2,0.043
1,,79,0.002,0.6,,,2,43,2,30,서울,,1,,2,,2026-03-06 22:00,1,0.012,서대문구,2,0.047
1,,79,0.002,0.5,,,2,42,2,29,서울,,1,,2,,2026-03-06 22:00,1,0.017,마포구,2,0.042
1,,87,0.003,0.6,,,2,55,2,34,서울,,1,,2,,2026-03-06 22:00,1,0.022,신촌로,2,0.035
1,,90,0.002,0.5,,,2,51,2,39,서울,,1,,2,,2026-03-06 22:00,1,0.015,강서구,2,0.041
1,,82,0.002,0.5,,,2,47,2,29,서울,,1,,2,,2026-03-06 22:00,1,0.016,공항대로,2,0.041
1,,82,0.002,0.4,,,2,47,2,33,서울,,1,,2,,2026-03-06 22:00,1,0.012,구로구,2,0.046
1,,82,0.002,0.4,,,2,46,2,30,서울,,1,,2,,2026-03-06 22:00,1,0.012,영등포구,2,0.048
1,,69,0.002,0.5,,,2,50,2,35,서울,,1,,2,,2026-03-06 22:00,1,0.018,영등포로,2,0.043
1,,85,0.002,0.4,,,2,45,2,34,서울,,1,,2,,2026-03-06 22:00,1,0.014,동작구,2,0.041
1,,-,0.003,0.5,,,,44,,37,서울,,1,통신장애,2,,2026-03-06 22:00,1,0.025,동작대로 중앙차로,2,-
1,,82,0.002,0.4,,,2,46,2,32,서울,,1,,2,,2026-03-06 22:00,1,0.014,관악구,2,0.039
1,,87,0.002,0.5,,,2,43,2,34,서울,,1,,2,,2026-03-06 22:00,1,0.012,강남구,2,0.041
1,,90,0.003,0.4,,,2,47,2,34,서울,,1,,2,,2026-03-06 22:00,1,0.012,서초구,2,0.043
1,,87,0.002,0.6,,,2,50,2,36,서울,,1,,2,,2026-03-06 22:00,1,0.015,도산대로,2,0.041
1,,69,0.002,0.6,,,1,49,2,32,서울,,1,,2,,2026-03-06 22:00,1,0.024,강남대로,2,0.028
1,,95,0.002,0.4,,,2,45,2,35,서울,,1,,2,,2026-03-06 22:00,1,0.015,송파구,2,0.041
1,,92,0.002,0.4,,,2,48,2,36,서울,,1,,2,,2026-03-06 22:00,1,0.010,강동구,2,0.044
1,,82,0.002,0.6,,,2,44,2,34,서울,,1,,2,,2026-03-06 22:00,1,0.023,천호대로,2,0.034
1,,95,0.003,0.4,,,2,45,2,40,서울,,1,,2,,2026-03-06 22:00,1,0.015,금천구,2,0.044
1,,87,0.003,0.5,,,2,47,2,35,서울,,1,,2,,2026-03-06 22:00,1,0.017,시흥대로,2,0.043
1,,82,0.002,0.4,,,2,42,2,30,서울,,1,,2,,2026-03-06 22:00,1,0.006,강북구,2,0.048
1,,92,0.002,0.5,,,2,51,2,39,서울,,1,,2,,2026-03-06 22:00,1,0.015,양천구,2,0.034
1,,95,0.002,0.4,,,2,48,2,37,서울,,1,,2,,2026-03-06 22:00,1,0.011,노원구,2,0.047
1,,87,0.002,0.5,,,2,45,2,33,서울,,1,,2,,2026-03-06 22:00,1,0.020,화랑로,2,0.039
